"","schoolcode","choicepgm","district","latitude","longtitude","cutoff","quality","size"
"179893",30403,"General Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,208,245.210526315789,38
"179914",30403,"Home Economics","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,215,248.375,8
"179941",30403,"Agriculture","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,219,241.933333333333,15
"179969",21001,"General Arts","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,276,302.127777777778,180
"179977",21001,"Business","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,270,299.5875,80
"179993",21001,"Home Economics","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,265,293.354838709677,62
"180001",21001,"Visual Arts","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,252,283.261538461538,65
"180013",21001,"General Science","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,252,293.370967741935,62
"180417",9021002,"Motor Vehicle Mech.","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,204,243.765957446808,47
"180425",9021002,"Accounting","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,226,264,8
"180535",70503,"Home Economics","Keta",5.90746402740479,0.853055775165558,211,243.285714285714,35
"180536",70503,"Business","Keta",5.90746402740479,0.853055775165558,205,248.558441558442,77
"180538",70503,"General Arts","Keta",5.90746402740479,0.853055775165558,213,244.3,120
"180550",70503,"Visual Arts","Keta",5.90746402740479,0.853055775165558,209,241.434782608696,23
"180807",21303,"General Arts","East Akim (Kibi)",6.17855787277222,-0.454344213008881,332,350.302469135802,162
"180810",21303,"Visual Arts","East Akim (Kibi)",6.17855787277222,-0.454344213008881,321,338.078947368421,38
"180812",21303,"Business","East Akim (Kibi)",6.17855787277222,-0.454344213008881,316,337.56862745098,153
"180815",21303,"Agriculture","East Akim (Kibi)",6.17855787277222,-0.454344213008881,312,331.555555555556,36
"180819",21303,"General Science","East Akim (Kibi)",6.17855787277222,-0.454344213008881,343,360.162162162162,37
"181001",21303,"Home Economics","East Akim (Kibi)",6.17855787277222,-0.454344213008881,313,335.472222222222,36
"181294",30402,"Business","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,207,255.473333333333,150
"181296",30402,"General Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,207,247.42,250
"181297",30402,"Home Economics","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,192,246.8359375,128
"182163",20301,"General Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,386,401.657777777778,225
"182164",20301,"Business","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,396,411.188888888889,90
"182180",20301,"General Science","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,403,419.477777777778,90
"182184",20301,"Visual Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,385,397.35,20
"182211",20301,"Home Economics","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,394,408.32,25
"182641",70114,"Business","Ho Municipal",6.71760702133179,0.526142239570618,243,252.571428571429,7
"182643",70114,"General Arts","Ho Municipal",6.71760702133179,0.526142239570618,223,241.875,8
"182650",70114,"Technical","Ho Municipal",6.71760702133179,0.526142239570618,217,271,5
"182665",70114,"Agriculture","Ho Municipal",6.71760702133179,0.526142239570618,269,269,1
"182680",30109,"Visual Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,261,285.72972972973,37
"182681",30109,"Business","Cape Coast Municipal",5.15365600585938,-1.3065938949585,262,293.628571428571,70
"182686",30109,"General Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,280,305.277777777778,108
"182796",30109,"Home Economics","Cape Coast Municipal",5.15365600585938,-1.3065938949585,283,299.518518518519,27
"182920",10121,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,360,374.8,40
"182922",10121,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,358,384.2,160
"182923",10121,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,363,384.116666666667,180
"182927",10121,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,369,386.3875,80
"182936",10121,"Agriculture","Accra Metropolitan",5.6073956489563,-0.197115257382393,335,361.875,40
"183424",10112,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,359,380.14606741573,89
"183426",10112,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,374,385.850574712644,87
"183427",10112,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,362,377.466666666667,45
"183437",10112,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,316,347.285714285714,49
"183461",10112,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,363,375.966666666667,30
"183736",10106,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,336,350.353535353535,99
"183743",10106,"Technical","Accra Metropolitan",5.6073956489563,-0.197115257382393,301,324.285714285714,49
"183746",10106,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,328,345.19,100
"183755",10106,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,336,354.68,50
"183761",10106,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,314,331.106382978723,47
"183772",10106,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,293,319,50
"184170",9010101,"Plumbing & Gas Fitting","Accra Metropolitan",5.6073956489563,-0.197115257382393,223,247.846153846154,13
"184173",9010101,"Small Eng. Repairs","Accra Metropolitan",5.6073956489563,-0.197115257382393,253,280.2,20
"184184",9010101,"Auto Body Works","Accra Metropolitan",5.6073956489563,-0.197115257382393,298,324.25,20
"184188",9010101,"Welding & Fabrication","Accra Metropolitan",5.6073956489563,-0.197115257382393,273,303.15,20
"184217",9010101,"Mech. Eng. Craft Pract.","Accra Metropolitan",5.6073956489563,-0.197115257382393,262,291.2,20
"184381",61202,"Home Economics","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,227,255.36,50
"184384",61202,"General Arts","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,256,279.94,200
"184396",61202,"Business","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,251,281.6,100
"184408",61202,"Agriculture","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,243,267.1,50
"184478",61202,"General Science","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,224,274.62,50
"184832",20604,"Agriculture","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,208,243.933333333333,60
"184833",20604,"General Arts","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,228,261.083333333333,120
"184875",20604,"Home Economics","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,210,244.577777777778,45
"185090",10110,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,366,385.825,40
"185091",10110,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,401,419.988888888889,180
"185093",10110,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,389,407.64,50
"185094",10110,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,389,409.146666666667,225
"185116",10110,"Agriculture","Accra Metropolitan",5.6073956489563,-0.197115257382393,343,371.275,40
"185665",51606,"General Arts","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,207,252.041666666667,72
"185683",51606,"Home Economics","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,213,245.36170212766,47
"185736",51606,"Agriculture","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,222,248.046511627907,43
"185890",10301,"Visual Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,271,295.90243902439,41
"185893",10301,"Home Economics","Dangme East (Ada)",5.91473388671875,0.106862179934978,277,299.809523809524,42
"185895",10301,"General Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,288,310.222222222222,126
"185898",10301,"Agriculture","Dangme East (Ada)",5.91473388671875,0.106862179934978,278,300.071428571429,42
"185907",10301,"General Science","Dangme East (Ada)",5.91473388671875,0.106862179934978,292,317.785714285714,42
"186226",10302,"Business","Dangme East (Ada)",5.91473388671875,0.106862179934978,285,307.054545454545,55
"186228",10302,"Agriculture","Dangme East (Ada)",5.91473388671875,0.106862179934978,246,275.96,50
"186234",10302,"Technical","Dangme East (Ada)",5.91473388671875,0.106862179934978,275,291.84,50
"186239",10302,"Home Economics","Dangme East (Ada)",5.91473388671875,0.106862179934978,236,261.763636363636,55
"186254",10302,"General Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,260,286.46,100
"186551",9010301,"Block Laying & Concreting","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,206,237.266666666667,15
"186557",9010301,"Fashion Design","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,205,246.111111111111,18
"186582",9010301,"Electrical Installation Works","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,229,256.05,40
"186597",9010301,"Accounting","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,210,255.056603773585,53
